Month,Marketing_Spend,Sales_Spend,Leads_Generated,Cost_Per_Lead,Total_Spend
January,9900.0,7000,300,33.0,16900.0
February,1100.0,2000,180,6.111111111111111,3100.0
March,6600.000000000001,9000,80,82.50000000000001,15600.0
April,3300.0000000000005,7000,70,47.142857142857146,10300.0
May,7700.000000000001,5000,50,154.00000000000003,12700.0
June,4400.0,7000,80,55.0,11400.0
July,5500.0,6000,110,50.0,11500.0
August,4400.0,9000,80,55.0,13400.0
September,4400.0,5000,170,25.88235294117647,9400.0
October,2200.0,8000,190,11.578947368421053,10200.0
November,4400.0,1000,40,110.0,5400.0
December,7700.000000000001,6000,80,96.25000000000001,13700.0
